Questions,num_words,num_characters,num_misspelled,bin_start_interrogative,bin_end_qmark,num_interrogative,bin_start_small,avg_word_sentence,num_sentences,bin_url,readability_score,num_punctuations,bin_taboo,grammar_check,Average IDF,Entropy,Polarity,Subjectivity
Rosa put $750 into a savings account that earns 3% simple interest each year she plans to put no more money into this account how much money will be in the account in a year?,35,140,0,0,1,1,0,35,1,0,14.50628571,1,0,1,-4.305065594,0.087975171,-0.016666667,0.352380952
Transverse waves are to radio waves as<br /> longitudinal waves are to<br /> (1) light waves (3) ultraviolet waves<br /> (2) microwaves (4) sound waves,25,127,3,0,0,0,0,25,1,0,11.794,14,0,0,-2.021021702,0.699312008,0.4,0.55
The expression D over T can be used to find the average speed of an object that travels a distance D in time T what is a cars average speed if it travels 145 miles in 2.5 hours,39,139,0,0,0,1,0,19.5,2,0,4.986153846,1,0,1,-4.437663715,0.072333293,-0.15,0.4
"what is 0,64 as a fraction in reduced form",10,34,0,1,0,1,1,10,1,0,-0.887,1,0,0,-4.892852258,0.011217982,0,0
"A sound wave traveling eastward through air<br /> causes the air molecules to<br /> (1) vibrate east and west<br /> (2) vibrate north and south<br /> (3) move eastward, only<br /> (4) move northward, only",35,170,5,0,0,0,0,35,1,0,15.58285714,20,0,0,-2.203041463,0.701001669,0.2,0.7
how to do balancing equations ,5,25,0,1,0,1,1,5,1,0,4.62,0,0,0,-5.403677882,0.003672008,0,0
A molecule of an unsaturated hydrocarbon must have(1) at least on single carbon-carbon bond<br /> (2) at least one multiple carbon-carbon bond<br /> (3) two or more single carbon-carbon bonds<br /> (4) two or more multiple carbon-carbon bonds,43,205,3,0,0,0,0,43,1,0,20.2244186,18,0,0,-2.26103609,0.741667005,0.032142857,0.278571429
"Explain, in terms of protons and neutrons, why U-235 and U-238 are different isotopes of Uranium.",18,82,0,0,0,1,0,18,1,0,7.718333333,5,0,1,-5.521460918,0.014404398,0,0.6
24. Which energy conversion occurs in an operating electrolytic cell?(1) chemical energy to electrical energy<br /> (2) electrical energy to chemical energy<br /> (3) nuclear energy to thermal energy<br /> (4) thermal energy to nuclear energy,37,207,3,0,0,0,0,12.33333333,3,0,8.668558559,16,0,0,-2.266942201,0.800391945,0,0
"The heating element in an automobile window<br /> has a resistance of 1.2 ohms when operated at<br /> 12 volts. Calculate the power dissipated in the<br /> heating element. [Show all work, including the<br /> equation and substitution with units.]",41,208,4,0,0,1,0,8.2,5,0,4.38195122,15,0,0,-4.806807532,0.068621279,0,0
state Einsiein's equation of photoelectric effect and what conservation principle does Einstein's equation represent,14,103,1,0,0,1,1,14,1,0,20.22214286,0,0,0,-3.260098541,0.132129537,0,0
"A 3.6-volt battery is used to operate a cell phone<br /> for 5.0 minutes. If the cell phone dissipates<br /> 0.064 watt of power during its operation, the<br /> current that passes through the phone is<br /> (1) 0.018 A (3) 19 A<br /> (2) 5.3 A (4) 56 A",56,204,5,0,0,0,0,8,7,0,-2.879464286,26,0,0,-2.307597635,0.723531742,0,0.4
What is the wavelength of a 2.50-kilohertz sound<br /> wave traveling at 326 meters per second through<br /> air?<br /> (1) 0.130 m (3) 7.67 m<br /> (2) 1.30 m (4) 130. m,38,138,4,1,0,1,0,5.428571429,7,0,-4.957556391,23,0,0,-2.051227931,0.707932509,0,0
A boy pushes his sister on a swing. What is the<br /> frequency of oscillation of his sister on the swing<br /> if the boy counts 90. complete swings in 300.<br /> seconds?<br /> (1) 0.30 Hz (3) 1.5 Hz<br /> (2) 2.0 Hz (4) 18 Hz,50,182,5,0,0,1,0,6.25,8,0,-3.9866,25,0,0,-2.341920098,0.71862652,0.1,0.4
The wattí¢ä‰åŒ¢second is a unit of<br /> (1) power<br /> (2) energy<br /> (3) potential difference<br /> (4) electric field strength,22,112,4,0,0,0,0,22,1,0,7.767727273,16,0,0,-1.847574248,0.696018447,0,1
the strength of the pulling force on the moon is 1/6 of that on earth whilst on Jupiter it is 2.5 times stronger what is the weight on the moon<br />,33,119,1,0,0,1,1,16.5,2,0,3.090909091,3,0,0,-5.078255482,0.030354288,0,0
"The magnitude of the centripetal force acting on<br /> an object traveling in a horizontal, circular path<br /> will decrease if the<br /> (1) radius of the path is increased<br /> (2) mass of the object is increased<br /> (3) direction of motion of the object is reversed<br /> (4) speed of the object is increased",56,260,6,0,0,0,0,56,1,0,26.16696429,21,0,0,-2.330984568,0.732084071,0,0
Fran has 7 sheets of paper for a colouring project. If she only uses 1/3 of a sheet of paper per drawing how many drawings can she make?,29,109,1,0,1,1,0,14.5,2,0,3.035862069,2,0,0,-4.509860006,0.056685895,0.25,0.75
"Like plants, human beings have similarities and differences. God gave us talents which He wants us to use. What can you do best? How can you share this talent to others?",31,139,0,0,1,2,0,7.75,4,0,2.804354839,5,0,1,-4.96184513,0.043499951,0.4,0.166666667
Chemical formula for hydroxide,4,27,0,0,0,0,0,4,1,0,12.3625,0,0,1,-5.11599581,0.00690496,0,0
Why would a doctor not give antibiotics to a person with influenza,12,55,0,1,0,1,0,12,1,0,6.1575,0,0,1,-4.80769445,0.017593304,0,0
Speed is the ratio of the distance an object moves to <br /> A. the amount of time needed to travel the distance. <br /> B. the direction the object moves. <br /> C. the displacement of the object. <br /> D. the motion of the object.,43,187,4,0,0,0,0,5.375,8,0,-0.450174419,16,0,0,-3.723144048,0.132592147,0,0
for which value of x is the expression x + 2/2 X -1 undefined,14,48,0,0,0,0,1,14,1,0,0.709285714,1,0,0,-3.445497641,0.085203762,0,0
Which statement is not always true?<br /> (1) The product of two irrational numbers is irrational.<br /> (2) The product of two rational numbers is rational.<br /> (3) The sum of two rational numbers is rational.<br /> (4) The sum of a rational number and an irrational number is<br /> irrational.,51,247,5,0,0,0,0,10.2,5,0,3.895294118,23,0,0,-2.318827399,0.775638015,0,0
irrational equations 64^1/3 how to simplify?<br />,9,44,1,0,0,1,1,4.5,2,0,0.706666667,3,0,0,-5.349610661,0.007715589,0,0
Following proper safety guidelines _______.<br /> a. minimizes the chance of accidents occurring in lab <br /> b. involves using a fire extinguisher <br /> c. prevents accidents from occurring in lab <br /> d. requires using a safety shower,36,201,4,0,0,0,0,6,6,0,4.7275,13,0,0,-4.072093953,0.113804672,0,0.1
The velocity a rocket must reach to establish an orbit around Earth is called escape velocity.,16,79,0,0,0,0,0,16,1,0,9.53125,1,0,1,-5.228113108,0.022947578,0,0
"An air track car with a mass of 0.75 kg and a velocity of 8.5 m/s to the right collides elastically with a 0.65kg car moving to the left with a velocity of 7.2m/s. If the collision is elastic, what is the speed and direction of each car after the collision?",57,207,2,0,1,1,0,9.5,6,0,-0.318947368,7,0,1,-5.088596836,0.057073175,0.142857143,0.267857143
"If a scale factor is less than 1, then what does my figure get? (Geometry)",15,60,0,0,0,1,0,7.5,2,0,-0.096,4,0,1,-2.356220309,0.184746348,-0.166666667,0.066666667
 What is the volume of a sphere with a 21 cm diameter ,12,41,0,1,0,1,0,12,1,0,0.6625,0,0,1,-5.259096653,0.010330912,0,0
Write 16/75 as a % round your answer to the nearest tenth of a %,14,50,0,0,0,0,0,14,1,0,1.382142857,0,0,1,-4.305065594,0.03798476,-0.2,0.4
"After the price of petroleum oil went up by 10%, a consumer reduced his oil consumption by the same percent. By what percent would his petroleum bill be changed? THE ANSWER IS NOT 10%.",34,151,0,0,0,1,0,11.33333333,3,0,4.323431373,4,0,1,-4.427244241,0.077416275,0,0.125
reduce 18/32 to lowest terms,6,24,0,0,0,0,1,6,1,0,-0.375,0,0,0,-5.991464547,0.004304545,0,0
What does eutrophication mean? A simple definition of it,9,48,1,1,0,1,0,4.5,2,0,5.416666667,1,0,0,-5.403677882,0.007358837,-0.15625,0.522321429
"To increase the amount of electricity produced in the U.S., we could place what on top of all Wal-Mart stores?<br /><br /> Turbines<br /><br /> Biomass incinerators<br /><br /> Wind farms<br /><br /> Solar panels",37,178,9,0,0,1,0,9.25,4,0,2.162297297,21,0,0,-5.464302504,0.029083043,0.5,0.5
An astronaut has a mass of 76.0 kg. What is the astronaut's stationary weight at a position 8960 kilometers above Earth's surface? Note: Earth's radius is 6380 km.,29,136,0,0,0,1,0,7.25,4,0,3.471206897,4,0,1,-3.681289285,0.142155951,0,0.1
An instrument for observing very small objects is<br /> a. micrometer<br /> spectroscope<br /> microscope<br /> magnoscope,17,106,5,0,0,0,0,8.5,2,0,8.586470588,9,0,0,-6.422247463,0.005909803,-0.325,0.52
"Which one of the following types of training involves 10 to 30 minutes of high-intensity exercise?<br /> A. Anaerobic<br /> B. Long, steady distance<br /> C. Medium range<br /> D. Interval",32,158,4,0,0,0,0,5.333333333,6,0,1.695729167,15,0,0,-3.641594181,0.139854634,0.038888889,0.333333333
A pregnant woman needs about _____ grams of protein per day above prepregnancy needs.<br /> Answers:<br /> 25.<br /> 30.<br /> 35.<br /> 40.,23,117,6,0,0,0,0,4.6,5,0,-0.494782609,15,0,0,-4.264243599,0.075054962,0.166666667,0.3
"What's the next number?<br /> 7594, 3649, 9253, ......",8,46,1,0,0,0,0,4,2,0,-0.00125,12,0,0,-3.170085661,0.100334932,0,0
"Express with an exponent and the given base:<br /> 64, base 8",12,50,1,0,0,0,0,12,1,0,2.2325,3,0,0,-4.081922042,0.043675209,-0.8,1
What the formula to find volume of a cylinder,9,37,0,1,0,1,0,9,1,0,2.433333333,0,0,1,-4.532849524,0.015150841,0,0
if T(n) = 2n - 7 what is the 5th term,10,27,1,0,0,1,1,10,1,0,-5.597,3,0,0,-2.343407088,0.188996261,0,0
simplify 0.3{x-2y}+0.5x-y,8,24,2,0,0,0,1,2.666666667,3,0,-10.08791667,6,0,0,-5.991464547,0.006547869,0,0
"If 1/2 of 5 is 3, then what is 1/3 of 10?<br />",15,35,1,0,0,1,0,7.5,2,0,-8.888,4,0,0,-3.275446176,0.055784527,0,0
What is the prime factorization of 26,7,31,0,1,0,1,0,7,1,0,2.928571429,0,0,1,-5.521460918,0.004955998,0,0
Which factors of 72 are multiples of its prime factor?,10,45,0,0,1,0,0,10,1,0,4.294,1,0,1,-5.083205987,0.011917672,0,0
What is the product of 3a^2b and -2ab,9,30,3,1,0,1,0,9,1,0,-2.276666667,1,0,1,-6.060457419,0.003035377,0,0
what is the value of x in the equation 2x+7=1,12,36,1,1,0,1,1,12,1,0,-2.085,0,0,0,-3.473768074,0.037271006,0,0
what decimal is greater 0.732 or 0.75,9,31,0,1,0,1,1,3,3,0,-4.753333333,2,0,0,-5.403677882,0.007197905,0.5,0.5
what is the answer to 3b+b+6,8,23,1,1,0,1,1,8,1,0,-5.06625,0,0,0,-4.305065594,0.009052461,0,0
is 5/12 greater than 0.44,7,21,0,0,0,0,1,3.5,2,0,-6.895714286,1,0,0,-5.298317367,0.005889461,0.5,0.5
Use inverse operations to solve X - 5.6 = -1.7,10,37,0,0,0,0,0,3.333333333,3,0,-4.691333333,4,0,1,-3.684444857,0.06839543,0,0
Factor out this coefficient of the variable. 1/2a-1/2=,11,47,1,0,0,0,0,5.5,2,0,-0.696363636,2,0,1,-5.203007187,0.008364593,0,0
What is the gradient and y-intercept of 3y=4x+6,11,40,2,1,0,1,0,11,1,0,-0.087272727,1,0,1,-6.396929655,0.002289448,0,0
What is the solution to the equation<br /><br /> n= -1<br /> n= 2<br /> n=5/3<br /> n= 5/2,22,72,5,1,0,1,0,22,1,0,0.274545455,11,0,0,-3.863232841,0.055836773,0,0
which is a multiple of 8 and a factor of 32,11,33,0,0,0,0,1,11,1,0,-1.8,0,0,0,-4.422848629,0.017427403,0,0
which number is a multiple of 8 and a factor of 32,12,39,0,0,0,0,1,12,1,0,-0.1225,0,0,0,-4.062845895,0.029227568,0,0
 what is 72 % of 350 friends<br />,7,26,1,1,0,1,0,7,1,0,-3.127142857,2,0,0,-4.828313737,0.012010684,0,0
what is 5 % of 220 files,6,18,0,1,0,1,1,6,1,0,-5.085,0,0,0,-4.250998372,0.018933314,0,0
a baker make 180 bagle in 10 hours how many bagle in 12 hours what is the rate per hour <br />,21,73,3,0,0,2,1,21,1,0,4.77,2,0,0,-4.083632907,0.072700887,0.5,0.5
Round 96.493 to the nearest tenth.,7,29,0,0,0,0,0,3.5,2,0,-1.512857143,2,0,1,-5.075173815,0.00977549,-0.2,0.4
$7.50 a meal 6.5% tax,7,17,0,0,0,0,0,2.333333333,3,0,-11.51619048,2,0,1,-4.177726171,0.030469348,0,0
what percent of 20 is 11,6,19,0,1,0,1,1,6,1,0,-3.515,0,0,0,-4.245167452,0.014965172,0,0
%of 25 is 14.<br /><br /> what percent of 20 is 11?<br /><br /> 15 is,16,54,4,0,0,1,0,5.333333333,3,0,-7.282708333,10,0,0,-4.248495242,0.035159338,0,0
%of 25 is 14.<br /><br /> what percent of 20 is 11?<br /><br /> 15 is what percent of 5,20,68,4,0,0,2,0,6.666666667,3,0,-5.615166667,10,0,0,-4.128246114,0.049870882,0,0
2.<br /> What is the value of the function when t = 3? <br /> v=3/2t - 5/2,18,57,3,0,0,2,0,6,3,0,-6.916666667,7,0,0,-3.140758046,0.096785551,0,0
Please help! Due tonight<br /><br /> f(4) if f(x) = 3x - 1,13,46,3,0,0,0,0,6.5,2,0,-6.223846154,10,0,0,-2.120784505,0.427930082,-0.125,0.375
PLEASE HELP! DUE TONIGHT!<br /><br /> Find each function value for the given function rule.<br /><br /> a. f(7) if f(x) = 5x<br /><br /> b. f(9) if f(x) = x + 13<br /><br /> c. f(4) if f(x) = 3x - 1,44,156,10,0,0,0,0,6.285714286,7,0,-6.619188312,35,0,0,-2.090986186,1.255700942,-0.125,0.375
the sum of a number g and 2<br />,9,25,1,0,0,0,1,9,1,0,-5.416666667,2,0,0,-3.158251203,0.047593719,0,0
How to solve linear equations 12 = y + (-2),8,34,0,1,0,1,0,8,1,0,-0.35625,3,0,1,-2.329613765,0.192952705,0,0
"Which is greater, 2 or -13?",6,22,0,0,1,0,0,6,1,0,-3.515,3,0,1,-3.154337304,0.034197643,0.5,0.5
What is the difference between similar and congruentent,8,48,1,1,0,1,0,8,1,0,10.83,0,0,0,-5.44141821,0.005304465,0,0.4
"While shopping you discover that your favorite department store has lowered the price on a new MP3 player that you wanted to buy. You rush into the store, only to find that they are sold out. What concept does this scenario illustrate?<br /> A. Laissez faire<br /> B. Law of Diminishing Returns<br /> C. Shortage<br /> D. Scarcity",58,273,6,0,0,1,0,7.25,8,0,2.740344828,16,0,0,-4.28412242,0.107826882,0.212121212,0.818181818
What is another word for the central character of a short story?<br /> A. antagonist<br /> B. protagonist <br /> C. stock <br /> D. dynamic,24,114,4,1,0,1,0,4,6,0,-0.39375,13,0,0,-3.554931482,0.091112655,0,0.238888889
name two equivalent fractions for each <br /> 2/4<br /> 1/3<br /> 1/4,15,57,3,0,0,0,1,15,1,0,0.2,6,0,0,-4.828313737,0.019989994,0,0
What is the difference between similar and congruent,8,45,0,1,0,1,0,8,1,0,9.06375,0,0,1,-5.44141821,0.005304465,0,0.4
which decimal is equivalent to negative 7/8,8,37,0,0,0,0,1,8,1,0,3.765,0,0,0,-5.896154367,0.004765735,-0.3,0.4
What is 3456*43? are you happy?<br />,8,31,1,1,0,1,0,2.666666667,3,0,-5.377916667,4,0,0,-5.991464547,0.002178161,0,0
"Under the _______ Amendment, you have the right to know the charges brought against you and to question witnesses who bring evidence against you. <br /> A. Second <br /> B. Sixth <br /> C. Fifth <br /> D. First",35,171,4,0,0,1,0,5.833333333,6,0,1.134095238,14,0,0,-3.711636441,0.107860418,0.178571429,0.28968254
"When all parts of a circuit are composed of conducting materials, the circuit is said to be<br /> A. closed.<br /> B. shorted.<br /> C. parallel.<br /> D. open.",29,132,4,1,0,1,0,3.625,8,0,-1.589568966,17,0,0,-3.682744466,0.085801477,0,0.5
The distance from Jason's house to school is 0.5 kilometers. What is this distance in meters?,17,78,0,0,1,1,0,5.666666667,3,0,2.182745098,3,0,1,-3.140232698,0.126012583,0,0
what would you think JROTC will be like 100 years from today,12,49,1,1,0,1,1,12,1,0,3.8025,0,0,0,-4.310370646,0.033031978,0,0
Jenna bought 5 pounds of apples for $6.85. What is the unit price per pound of apples?,18,70,0,0,1,1,0,6,3,0,-1.16,3,0,1,-4.245167452,0.057174952,0,0
It took 20 minutes to print out a 250 page report.at this speed how many pages could this printer produce in 30 minutes,24,97,0,0,0,1,0,12,2,0,3.41,1,0,1,-4.598525643,0.052149353,0.5,0.5
Solve for y:-<br /><br /> y + 17 = 38<br /><br /> Thanks! :P,12,47,4,0,0,0,0,6,2,0,-7.0475,10,0,0,-3.442019376,0.095883518,0.5,0.6
Answer this:-<br /><br /> l + a + i + b + a = <br /><br /> l = 2<br /> a = 4<br /> i = 1.5<br /> b = 1.5<br /><br /> Thanks so much! :P ,30,98,9,0,0,0,0,7.5,4,0,-8.888,22,0,0,-2.889122538,0.366880335,0.4,0.466666667
What is 6 to the tenth power,7,22,0,1,0,1,0,7,1,0,-3.127142857,0,0,1,-4.572380363,0.011543531,0,0
A recipe for chicken soup calls for 4 cups of water fir 9 servings. How many servings can be made with 12 pints of water?,25,97,0,0,1,1,0,12.5,2,0,2.718,2,0,1,-4.342805922,0.067453647,-0.05,0.725
"In order for biological evolution to occur, the ______ of an organism must change and be passed on to offspring.<br /> blood<br /> DNA<br /> cells<br /> bone structure",28,139,4,0,0,0,0,14,2,0,5.5875,10,0,0,-5.094016903,0.034810236,0,0
what is the perimeter or the parallelogram?<br />,8,42,1,1,0,1,1,4,2,0,2.9425,3,0,0,-6.502290171,0.001402919,0,0
What is the area of JKL? ,6,19,1,1,0,1,0,3,2,0,-5.8,1,0,1,-5.403677882,0.003591468,0,0
Jerry has a string of lights. Give a fraction that represents each point on the string compared to the whole. ,20,90,0,0,0,0,0,6.666666667,3,0,2.627333333,2,0,1,-5.278514739,0.019891062,0.2,0.4
At the local aquarium there are 10 dolphins 8 penguins and 4 whales what is the ratio of penguins to whales,21,87,0,0,0,1,0,21,1,0,8.582857143,0,0,1,-4.262225435,0.048355725,0,0
a package of 6 pairs of socks cost $35.34 what is the unit price for the pairs of socks,20,69,0,0,0,1,1,10,2,0,-0.6515,1,0,0,-4.569452103,0.039099157,0,0
Brody is organizing his action figures on a shelf. He wants to divid them equally among 4 shelves there are 37 action figures Brody says he will have2 left over find and correct his mistake<br />,36,160,3,0,0,0,0,18,2,0,7.98,3,0,0,-4.9088526,0.051955138,0.08,0.11
You and two friends got jobs at stores in the mall. You earn $117.60 for 14 hours of work. Ty earns $148.50 in 18 hours. Kim earns $137.60 in 16 hours. Who has the highest pay rate in dollars per hour?,44,161,0,0,1,1,0,5.5,8,0,-2.623181818,8,0,1,-4.406319327,0.123028107,0,0
Garrett is 64 inches how many centimeters tall is he round your answer to the nearest tenth of a centimeter. 1 in.=2.54cm,24,100,1,0,0,1,0,6,4,0,0.41,3,0,1,-4.139985843,0.064846717,0.15,0.45
Use inverse operations to solve X - 5.6 = -1.7,10,37,0,0,0,0,0,3.333333333,3,0,-4.691333333,4,0,1,-3.684444857,0.06839543,0,0
Convert 1.7 Kg to cg,6,16,0,0,0,0,0,3,2,0,-8.155,1,0,1,-5.65499231,0.005850168,0,0
How many meters are in 2.7 km?,8,24,0,1,1,1,0,4,2,0,-6.4775,2,0,1,-3.9633163,0.02459194,0.5,0.5
"How many centimeters are in 2.4 km?<br /> a. 240<br /> b. 2400<br /> c. 24,000<br /> d. 240,000",22,77,4,1,0,1,0,3.142857143,7,0,-7.65538961,16,0,0,-3.343872315,0.091840341,0.5,0.5
An 8- pound bag of apples costs $17.50.What is the unit price?,14,51,0,0,1,1,0,4.666666667,3,0,-3.620952381,4,0,0,-4.480007043,0.034694642,0,0
how many # of pi do you know,7,21,0,1,0,1,1,7,1,0,-4.472857143,0,0,0,-4.059943136,0.022613494,0.5,0.5
What are some deep meaningful quotes? Im looking for everything from happy to sad,14,68,1,1,0,1,0,7,2,0,4.610714286,1,0,0,-5.691359955,0.010935484,0.2,0.725
Which store gives you the best deal?<br /> Metromarket<br /> 18cans of soda for $9<br /> Wal-Town<br /> 10cana of soda for $7.50<br /> ShopStop<br /> 14cans of soda for $7.00,34,144,12,0,0,0,0,8.5,4,0,-0.695,16,0,0,-4.379923584,0.078194194,1,0.3
12.38 in expanded form,5,19,0,0,0,0,0,2.5,2,0,-3.224,1,0,1,-5.010635294,0.007452176,0,0
what fraction is equal to 3/5,7,24,0,1,0,1,1,7,1,0,-2.454285714,0,0,0,-4.870873352,0.008667029,0,0.25
which religion believes in mecca,5,28,0,0,0,0,1,5,1,0,7.446,0,0,0,-6.214608098,0.002711363,0,0
Jeremy has a 7-foot-long boards. He needs to cut pieces that are 10 inches long from the boards. How many 10-inch pieces can he cut from the board? ,31,120,0,0,0,1,0,7.75,4,0,-0.234354839,6,0,1,-4.645992181,0.049664645,0.225,0.45
Round each number to the nearest tenth 26.73 + 89.42<br />,12,48,1,0,0,0,0,4,3,0,-2.945,4,0,0,-4.268697949,0.0328113,-0.2,0.4
What is 1000=blank 3(exponent),6,27,0,1,0,1,0,6,1,0,0.41,2,0,1,-1.817692851,0.168838169,0,0
A new vaccine was developed and then tested on<br /> a large sample of individuals. This new vaccine<br /> will be considered effective if it helps prepare<br /> the body to fight future invasion by<br /> (1) inhibiting the response of red blood cells<br /> (2) stimulating the reproduction of microbes<br /> (3) inhibiting the action of immune cells<br /> (4) stimulating the production of antibodies,66,336,7,0,0,0,0,33,2,0,16.90727273,23,0,0,-2.567201893,0.724925515,0.160876623,0.332832792
Article on computer advantages and disadvantages<br />,7,48,1,0,0,0,0,7,1,0,12.34857143,2,0,0,-6.348139491,0.003201865,0,0
What is verbal irony? the opposite of what is true is what happens saying the opposite of what is meant a character takes an opposite point of view a character in the story represents the author,36,159,0,1,0,4,0,18,2,0,8.241666667,1,0,0,-5.263631809,0.034407674,0.0875,0.1625
The setting directly affects the tone of a story.,9,41,0,0,0,0,0,9,1,0,4.003333333,1,0,1,-5.626821434,0.007346885,0.1,0.4
300 words on a true hero in a unifying force in diverse society,13,51,0,0,0,0,0,13,1,0,3.547692308,0,0,1,-4.509860006,0.031976752,0.35,0.65
How do you say football in Spanish<br />,8,33,1,1,0,1,0,8,1,0,0.2325,2,0,0,-5.233778845,0.00631068,0,0
Description about a fake super hero??,6,32,0,0,1,0,0,6,1,0,5.12,2,0,1,-5.298317367,0.007637247,-0.083333333,0.833333333
marshallow writing template,3,25,1,0,0,0,1,3,1,0,19.32,0,0,0,-5.80914299,0.003814043,0,0
how do you know 13 is the greatest prime number of 52,12,42,0,1,0,1,1,12,1,0,1.055,0,0,0,-4.355709326,0.026692144,1,1
"what's the least common multiple of 4,10 and 12",10,39,0,0,0,0,1,10,1,0,1.468,1,0,0,-2.969414965,0.121202888,-0.2,0.3
"Math homework help?<br /><br /> Pooters and Dooters were walking across a bridge one day, minding their own business.  They knew that a train was due to come across that bridge soon, but they thought they could make it.  It was a nice sunny day, and there was a great view from the bridge, so they walked very slowly, enjoying the view and savoring the warmth of the spring day.<br /><br /> They were one-third of the way across the bridge, when the sound of a train whistle brought them instantly back to reality.  Looking back over their shoulders, they saw a huge locomotive pulling tons of boxcars coming directly at them at 24 miles per hour!  Using all their powers of mathematical reasoning, Pooters and Dooters immediately figured that they could run directly ahead and get to the far edge of the bridge at the exact same instant as the train.  But they also knew that they could run back toward the train and get to the near end of the bridge just as the train got there.  Basically, they kn",183,813,8,0,0,1,0,20.33333333,9,0,8.889289617,26,0,0,-5.158555424,0.207823297,0.213888889,0.459259259
